Ayan01G001690	Acyan01G0016900
Ayan01G001700	Acyan01G0017000
Ayan01G001710	Acyan01G0017100
Ayan01G001720	Acyan01G0017200
Ayan01G001730	Acyan01G0017300
Ayan01G001740	Acyan01G0017400
Ayan01G001750	Acyan01G0017500
Ayan01G001760	Acyan01G0017600
Ayan01G001770	Acyan01G0017700
Ayan01G001780	Acyan01G0017800
Ayan01G001790	Acyan01G0017900
Ayan01G001800	Acyan01G0018000
Ayan01G001810	Acyan01G0018100
Ayan01G001820	Acyan01G0018200
Ayan01G001830	Acyan01G0018300
Ayan01G001840	Acyan01G0018400
Ayan01G001850	Acyan01G0018500
Ayan01G001860	Acyan01G0018600
Ayan01G001870	Acyan01G0018700
Ayan01G001880	Acyan01G0018800
Ayan01G001890	Acyan01G0018900
Ayan01G001900	Acyan01G0019000
Ayan01G001910	Acyan01G0019100
Ayan01G001920	Acyan01G0019200
Ayan01G001930	Acyan01G0019300
Ayan01G001940	Acyan01G0019400
Ayan01G001950	Acyan01G0019500
Ayan01G001960	Acyan01G0019600
Ayan01G001970	Acyan01G0019700
Ayan01G001980	Acyan01G0019800
Ayan01G001990	Acyan01G0019900
Ayan01G002000	Acyan01G0020000
Ayan01G002010	Acyan01G0020100
Ayan01G002020	Acyan01G0020200
Ayan01G002030	Acyan01G0020300
Ayan01G002040	Acyan01G0020400
Ayan01G002050	Acyan01G0020500
Ayan01G002060	Acyan01G0020600
Ayan01G002070	Acyan01G0020700
Ayan01G002080	Acyan01G0020800
Ayan01G002090	Acyan01G0020900
Ayan01G002100	Acyan01G0021000
Ayan01G002110	Acyan01G0021100
Ayan01G002120	Acyan01G0021200
Ayan01G002130	Acyan01G0021300
Ayan01G002140	Acyan01G0021400
Ayan01G002150	Acyan01G0021500
Ayan01G002160	Acyan01G0021600
Ayan01G002170	Acyan01G0021700
Ayan01G002180	Acyan01G0021800
Ayan01G002190	Acyan01G0021900
Ayan01G002200	Acyan01G0022000
Ayan01G002210	Acyan01G0022100
Ayan01G002220	Acyan01G0022200
Ayan01G002230	Acyan01G0022300
Ayan01G002240	Acyan01G0022400
Ayan01G002250	Acyan01G0022500
Ayan01G002260	Acyan01G0022600
Ayan01G002270	Acyan01G0022700
Ayan01G002280	Acyan01G0022800
Ayan01G002290	Acyan01G0022900
Ayan01G002300	Acyan01G0023000
Ayan01G002310	Acyan01G0023100
Ayan01G002320	Acyan01G0023200
Ayan01G002330	Acyan01G0023300
Ayan01G002340	Acyan01G0023400
Ayan01G002350	Acyan01G0023500
Ayan01G002360	Acyan01G0023600
Ayan01G002370	Acyan01G0023700
Ayan01G002380	Acyan01G0023800
Ayan01G002390	Acyan01G0023900
Ayan01G002400	Acyan01G0024000
Ayan01G002410	Acyan01G0024100
Ayan01G002420	Acyan01G0024200
Ayan01G002430	Acyan01G0024300
Ayan01G002440	Acyan01G0024400
Ayan01G002450	Acyan01G0024500
Ayan01G002460	Acyan01G0024600
Ayan01G002470	Acyan01G0024700
Ayan01G002480	Acyan01G0024800
Ayan01G002490	Acyan01G0024900
Ayan01G002500	Acyan01G0025000
Ayan01G002510	Acyan01G0025100
Ayan01G002520	Acyan01G0025200
Ayan01G002530	Acyan01G0025300
Ayan01G002540	Acyan01G0025400
Ayan01G002550	Acyan01G0025500
Ayan01G002560	Acyan01G0025600
Ayan01G002570	Acyan01G0025700
Ayan01G002580	Acyan01G0025800
Ayan01G002590	Acyan01G0025900
Ayan01G002600	Acyan01G0026000
Ayan01G002610	Acyan01G0026100
Ayan01G002620	Acyan01G0026200
Ayan01G002630	Acyan01G0026300
Ayan01G002640	Acyan01G0026400
Ayan01G002650	Acyan01G0026500
Ayan01G002660	Acyan01G0026600
Ayan01G002670	Acyan01G0026700
Ayan01G002680	Acyan01G0026800
Ayan01G002690	Acyan01G0026900
Ayan01G002700	Acyan01G0027000
Ayan01G002710	Acyan01G0027100
Ayan01G002720	Acyan01G0027200
Ayan01G002730	Acyan01G0027300
Ayan01G002740	Acyan01G0027400
Ayan01G002750	Acyan01G0027500
Ayan01G002760	Acyan01G0027600
Ayan01G002770	Acyan01G0027700
Ayan01G002780	Acyan01G0027800
Ayan01G002790	Acyan01G0027900
Ayan01G002800	Acyan01G0028000
Ayan01G002810	Acyan01G0028100
Ayan01G002820	Acyan01G0028200
Ayan01G002830	Acyan01G0028300
Ayan01G002840	Acyan01G0028400
Ayan01G002850	Acyan01G0028500
Ayan01G002860	Acyan01G0028600
Ayan01G002870	Acyan01G0028700
Ayan01G002880	Acyan01G0028800
Ayan01G002890	Acyan01G0028900
Ayan01G002900	Acyan01G0029000
Ayan01G002910	Acyan01G0029100
Ayan01G002920	Acyan01G0029200
Ayan01G002930	Acyan01G0029300
Ayan01G002940	Acyan01G0029400
Ayan01G002950	Acyan01G0029500
Ayan01G002960	Acyan01G0029600
Ayan01G002970	Acyan01G0029700
Ayan01G002980	Acyan01G0029800
Ayan01G002990	Acyan01G0029900
Ayan01G003000	Acyan01G0030000
Ayan01G003010	Acyan01G0030100
Ayan01G003020	Acyan01G0030200
Ayan01G003030	Acyan01G0030300
Ayan01G003040	Acyan01G0030400
Ayan01G003050	Acyan01G0030500
Ayan01G003060	Acyan01G0030600
Ayan01G003070	Acyan01G0030700
Ayan01G003080	Acyan01G0030800
Ayan01G003090	Acyan01G0030900
Ayan01G003100	Acyan01G0031000
Ayan01G003110	Acyan01G0031100
Ayan01G003120	Acyan01G0031200
Ayan01G003130	Acyan01G0031300
Ayan01G003140	Acyan01G0031400
Ayan01G003150	Acyan01G0031500
Ayan01G003160	Acyan01G0031600
Ayan01G003170	Acyan01G0031700
Ayan01G003180	Acyan01G0031800
Ayan01G003190	Acyan01G0031900
Ayan01G003200	Acyan01G0032000
Ayan01G003210	Acyan01G0032100
Ayan01G003220	Acyan01G0032200
Ayan01G003230	Acyan01G0032300
Ayan01G003240	Acyan01G0032400
Ayan01G003250	Acyan01G0032500
Ayan01G003260	Acyan01G0032600
Ayan01G003270	Acyan01G0032700
Ayan01G003280	Acyan01G0032800
Ayan01G003290	Acyan01G0032900
Ayan01G003300	Acyan01G0033000
Ayan01G003310	Acyan01G0033100
Ayan01G003320	Acyan01G0033200
Ayan01G003330	Acyan01G0033300
Ayan01G003340	Acyan01G0033400
Ayan01G003350	Acyan01G0033500
Ayan01G003360	Acyan01G0033600
Ayan01G003370	Acyan01G0033700
Ayan01G003380	Acyan01G0033800
Ayan01G003390	Acyan01G0033900
Ayan01G003400	Acyan01G0034000
Ayan01G003410	Acyan01G0034100
Ayan01G003420	Acyan01G0034200
Ayan01G003430	Acyan01G0034300
Ayan01G003440	Acyan01G0034400
Ayan01G003450	Acyan01G0034500
Ayan01G003460	Acyan01G0034600
Ayan01G003470	Acyan01G0034700
Ayan01G003480	Acyan01G0034800
Ayan01G003490	Acyan01G0034900
Ayan01G003500	Acyan01G0035000
Ayan01G003510	Acyan01G0035100
Ayan01G003520	Acyan01G0035200
Ayan01G003530	Acyan01G0035300
Ayan01G003540	Acyan01G0035400
Ayan01G003550	Acyan01G0035500
Ayan01G003560	Acyan01G0035600
Ayan01G003570	Acyan01G0035700
Ayan01G003580	Acyan01G0035800
Ayan01G003590	Acyan01G0035900
Ayan01G003600	Acyan01G0036000
Ayan01G003610	Acyan01G0036100
Ayan01G003620	Acyan01G0036200
Ayan01G003630	Acyan01G0036300
Ayan01G003640	Acyan01G0036400
Ayan01G003650	Acyan01G0036500
Ayan01G003660	Acyan01G0036600
Ayan01G003670	Acyan01G0036700
Ayan01G003680	Acyan01G0036800
Ayan01G003690	Acyan01G0036900
Ayan01G003700	Acyan01G0037000
Ayan01G003710	Acyan01G0037100
Ayan01G003720	Acyan01G0037200
Ayan01G003730	Acyan01G0037300
Ayan01G003740	Acyan01G0037400
Ayan01G003750	Acyan01G0037500
Ayan01G003760	Acyan01G0037600
Ayan01G003770	Acyan01G0037700
Ayan01G003780	Acyan01G0037800
Ayan01G003790	Acyan01G0037900
Ayan01G003800	Acyan01G0038000
Ayan01G003810	Acyan01G0038100
Ayan01G003820	Acyan01G0038200
Ayan01G003830	Acyan01G0038300
Ayan01G003840	Acyan01G0038400
Ayan01G003850	Acyan01G0038500
Ayan01G003860	Acyan01G0038600
Ayan01G003870	Acyan01G0038700
Ayan01G003880	Acyan01G0038800
Ayan01G003890	Acyan01G0038900
Ayan01G003900	Acyan01G0039000
Ayan01G003910	Acyan01G0039100
Ayan01G003920	Acyan01G0039200
Ayan01G003930	Acyan01G0039300
Ayan01G003940	Acyan01G0039400
Ayan01G003950	Acyan01G0039500
Ayan01G003960	Acyan01G0039600
Ayan01G003970	Acyan01G0039700
Ayan01G003980	Acyan01G0039800
Ayan01G003990	Acyan01G0039900
Ayan01G004000	Acyan01G0040000
Ayan01G004010	Acyan01G0040100
Ayan01G004020	Acyan01G0040200
Ayan01G004030	Acyan01G0040300
Ayan01G004040	Acyan01G0040400
Ayan01G004050	Acyan01G0040500
Ayan01G004060	Acyan01G0040600
Ayan01G004070	Acyan01G0040700
Ayan01G004080	Acyan01G0040800
Ayan01G004090	Acyan01G0040900
Ayan01G004100	Acyan01G0041000
Ayan01G004110	Acyan01G0041100
Ayan01G004120	Acyan01G0041200
Ayan01G004130	Acyan01G0041300
Ayan01G004140	Acyan01G0041400
Ayan01G004150	Acyan01G0041500
Ayan01G004160	Acyan01G0041600
Ayan01G004170	Acyan01G0041700
Ayan01G004180	Acyan01G0041800
Ayan01G004190	Acyan01G0041900
Ayan01G004200	Acyan01G0042000
Ayan01G004210	Acyan01G0042100
Ayan01G004220	Acyan01G0042200
Ayan01G004230	Acyan01G0042300
Ayan01G004240	Acyan01G0042400
Ayan01G004250	Acyan01G0042500
Ayan01G004260	Acyan01G0042600
Ayan01G004270	Acyan01G0042700
Ayan01G004280	Acyan01G0042800
Ayan01G004290	Acyan01G0042900
Ayan01G004300	Acyan01G0043000
Ayan01G004310	Acyan01G0043100
Ayan01G004320	Acyan01G0043200
Ayan01G004330	Acyan01G0043300
Ayan01G004340	Acyan01G0043400
Ayan01G004350	Acyan01G0043500
Ayan01G004360	Acyan01G0043600
Ayan01G004370	Acyan01G0043700
Ayan01G004380	Acyan01G0043800
Ayan01G004390	Acyan01G0043900
Ayan01G004400	Acyan01G0044000
Ayan01G004410	Acyan01G0044100
Ayan01G004420	Acyan01G0044200
Ayan01G004430	Acyan01G0044300
Ayan01G004440	Acyan01G0044400
Ayan01G004450	Acyan01G0044500
Ayan01G004460	Acyan01G0044600
Ayan01G004470	Acyan01G0044700
Ayan01G004480	Acyan01G0044800
Ayan01G004490	Acyan01G0044900
Ayan01G004500	Acyan01G0045000
Ayan01G004510	Acyan01G0045100
Ayan01G004520	Acyan01G0045200
Ayan01G004530	Acyan01G0045300
Ayan01G004540	Acyan01G0045400
Ayan01G004550	Acyan01G0045500
Ayan01G004560	Acyan01G0045600
Ayan01G004570	Acyan01G0045700
Ayan01G004580	Acyan01G0045800
Ayan01G004590	Acyan01G0045900
Ayan01G004600	Acyan01G0046000
Ayan01G004610	Acyan01G0046100
Ayan01G004620	Acyan01G0046200
Ayan01G004630	Acyan01G0046300
Ayan01G004640	Acyan01G0046400
Ayan01G004650	Acyan01G0046500
Ayan01G004660	Acyan01G0046600
Ayan01G004670	Acyan01G0046700
Ayan01G004680	Acyan01G0046800
Ayan01G004690	Acyan01G0046900
Ayan01G004700	Acyan01G0047000
Ayan01G004710	Acyan01G0047100
Ayan01G004720	Acyan01G0047200
Ayan01G004730	Acyan01G0047300
Ayan01G004740	Acyan01G0047400
Ayan01G004750	Acyan01G0047500
Ayan01G004760	Acyan01G0047600
Ayan01G004770	Acyan01G0047700
Ayan01G004780	Acyan01G0047800
Ayan01G004790	Acyan01G0047900
Ayan01G004800	Acyan01G0048000
Ayan01G004810	Acyan01G0048100
Ayan01G004820	Acyan01G0048200
Ayan01G004830	Acyan01G0048300
Ayan01G004840	Acyan01G0048400
Ayan01G004850	Acyan01G0048500
Ayan01G004860	Acyan01G0048600
Ayan01G004870	Acyan01G0048700
Ayan01G004880	Acyan01G0048800
Ayan01G004890	Acyan01G0048900
Ayan01G004900	Acyan01G0049000
Ayan01G004910	Acyan01G0049100
Ayan01G004920	Acyan01G0049200
Ayan01G004930	Acyan01G0049300
Ayan01G004940	Acyan01G0049400
Ayan01G004950	Acyan01G0049500
Ayan01G004960	Acyan01G0049600
Ayan01G004970	Acyan01G0049700
Ayan01G004980	Acyan01G0049800
Ayan01G004990	Acyan01G0049900
Ayan01G005000	Acyan01G0050000
Ayan01G005010	Acyan01G0050100
Ayan01G005020	Acyan01G0050200
Ayan01G005030	Acyan01G0050300
Ayan01G005040	Acyan01G0050400
Ayan01G005050	Acyan01G0050500
Ayan01G005060	Acyan01G0050600
Ayan01G005070	Acyan01G0050700
Ayan01G005080	Acyan01G0050800
Ayan01G005090	Acyan01G0050900
Ayan01G005100	Acyan01G0051000
Ayan01G005110	Acyan01G0051100
Ayan01G005120	Acyan01G0051200
Ayan01G005130	Acyan01G0051300
Ayan01G005140	Acyan01G0051400
Ayan01G005150	Acyan01G0051500
Ayan01G005160	Acyan01G0051600
Ayan01G005170	Acyan01G0051700
Ayan01G005180	Acyan01G0051800
Ayan01G005190	Acyan01G0051900
Ayan01G005200	Acyan01G0052000
Ayan01G005210	Acyan01G0052100
Ayan01G005220	Acyan01G0052200
Ayan01G005230	Acyan01G0052300
Ayan01G005240	Acyan01G0052400
Ayan01G005250	Acyan01G0052500
Ayan01G005260	Acyan01G0052600
Ayan01G005270	Acyan01G0052700
Ayan01G005280	Acyan01G0052800
Ayan01G005290	Acyan01G0052900
Ayan01G005300	Acyan01G0053000
Ayan01G005310	Acyan01G0053100
Ayan01G005320	Acyan01G0053200
Ayan01G005330	Acyan01G0053300
Ayan01G005340	Acyan01G0053400
Ayan01G005350	Acyan01G0053500
Ayan01G005360	Acyan01G0053600
Ayan01G005370	Acyan01G0053700
Ayan01G005380	Acyan01G0053800
Ayan01G005390	Acyan01G0053900
Ayan01G005400	Acyan01G0054000
Ayan01G005410	Acyan01G0054100
Ayan01G005420	Acyan01G0054200
Ayan01G005430	Acyan01G0054300
Ayan01G005440	Acyan01G0054400
Ayan01G005450	Acyan01G0054500
Ayan01G005460	Acyan01G0054600
Ayan01G005470	Acyan01G0054700
Ayan01G005480	Acyan01G0054800
Ayan01G005490	Acyan01G0054900
Ayan01G005500	Acyan01G0055000
Ayan01G005510	Acyan01G0055100
Ayan01G005520	Acyan01G0055200
Ayan01G005530	Acyan01G0055300
Ayan01G005540	Acyan01G0055400
Ayan01G005550	Acyan01G0055500
Ayan01G005560	Acyan01G0055600
Ayan01G005570	Acyan01G0055700
Ayan01G005580	Acyan01G0055800
Ayan01G005590	Acyan01G0055900
Ayan01G005600	Acyan01G0056000
