Dsin_scaffold095	ORIGINAL_SCAFFOLD_1050
Dsin_scaffold096	ORIGINAL_SCAFFOLD_1051
Dsin_scaffold097	ORIGINAL_SCAFFOLD_1052
Dsin_scaffold098	ORIGINAL_SCAFFOLD_1053
Dsin_scaffold099	ORIGINAL_SCAFFOLD_1054
Dsin_scaffold100	ORIGINAL_SCAFFOLD_1055
Dsin_scaffold101	ORIGINAL_SCAFFOLD_1056
Dsin_scaffold102	ORIGINAL_SCAFFOLD_1057
Dsin_scaffold103	ORIGINAL_SCAFFOLD_1058
Dsin_scaffold104	ORIGINAL_SCAFFOLD_1059
Dsin_scaffold105	ORIGINAL_SCAFFOLD_1060
Dsin_scaffold106	ORIGINAL_SCAFFOLD_1061
Dsin_scaffold107	ORIGINAL_SCAFFOLD_1062
Dsin_scaffold108	ORIGINAL_SCAFFOLD_1063
Dsin_scaffold109	ORIGINAL_SCAFFOLD_1064
Dsin_scaffold110	ORIGINAL_SCAFFOLD_1065
Dsin_scaffold111	ORIGINAL_SCAFFOLD_1066
Dsin_scaffold112	ORIGINAL_SCAFFOLD_1068
Dsin_scaffold113	ORIGINAL_SCAFFOLD_1069
Dsin_scaffold114	ORIGINAL_SCAFFOLD_1070
Dsin_scaffold115	ORIGINAL_SCAFFOLD_1071
Dsin_scaffold116	ORIGINAL_SCAFFOLD_1072
Dsin_scaffold117	ORIGINAL_SCAFFOLD_1073
Dsin_scaffold118	ORIGINAL_SCAFFOLD_1074
Dsin_scaffold119	ORIGINAL_SCAFFOLD_1075
Dsin_scaffold120	ORIGINAL_SCAFFOLD_1076
Dsin_scaffold121	ORIGINAL_SCAFFOLD_1077
Dsin_scaffold122	ORIGINAL_SCAFFOLD_1078
Dsin_scaffold123	ORIGINAL_SCAFFOLD_1079
Dsin_scaffold124	ORIGINAL_SCAFFOLD_1080
Dsin_scaffold125	ORIGINAL_SCAFFOLD_1081
Dsin_scaffold126	ORIGINAL_SCAFFOLD_1082
Dsin_scaffold127	ORIGINAL_SCAFFOLD_1083
Dsin_scaffold128	ORIGINAL_SCAFFOLD_1084
Dsin_scaffold129	ORIGINAL_SCAFFOLD_1085
Dsin_scaffold130	ORIGINAL_SCAFFOLD_1086
Dsin_scaffold131	ORIGINAL_SCAFFOLD_1087
Dsin_scaffold132	ORIGINAL_SCAFFOLD_1088
Dsin_scaffold133	ORIGINAL_SCAFFOLD_1090
Dsin_scaffold134	ORIGINAL_SCAFFOLD_1091
Dsin_scaffold135	ORIGINAL_SCAFFOLD_1092
Dsin_scaffold136	ORIGINAL_SCAFFOLD_1093
Dsin_scaffold137	ORIGINAL_SCAFFOLD_1094
Dsin_scaffold138	ORIGINAL_SCAFFOLD_1095
Dsin_scaffold139	ORIGINAL_SCAFFOLD_1096
Dsin_scaffold140	ORIGINAL_SCAFFOLD_1097
Dsin_scaffold141	ORIGINAL_SCAFFOLD_1098
Dsin_scaffold142	ORIGINAL_SCAFFOLD_1100
Dsin_scaffold143	ORIGINAL_SCAFFOLD_1101
Dsin_scaffold144	ORIGINAL_SCAFFOLD_1102
Dsin_scaffold145	ORIGINAL_SCAFFOLD_1103
Dsin_scaffold146	ORIGINAL_SCAFFOLD_1104
Dsin_scaffold147	ORIGINAL_SCAFFOLD_1105
Dsin_scaffold148	ORIGINAL_SCAFFOLD_1106
Dsin_scaffold149	ORIGINAL_SCAFFOLD_1107
Dsin_scaffold150	ORIGINAL_SCAFFOLD_1108
Dsin_scaffold151	ORIGINAL_SCAFFOLD_1109
Dsin_scaffold152	ORIGINAL_SCAFFOLD_1110
Dsin_scaffold153	ORIGINAL_SCAFFOLD_1111
Dsin_scaffold154	ORIGINAL_SCAFFOLD_1112
Dsin_scaffold155	ORIGINAL_SCAFFOLD_1113
Dsin_scaffold156	ORIGINAL_SCAFFOLD_1114
Dsin_scaffold157	ORIGINAL_SCAFFOLD_1115
Dsin_scaffold158	ORIGINAL_SCAFFOLD_1116
Dsin_scaffold159	ORIGINAL_SCAFFOLD_1117
Dsin_scaffold160	ORIGINAL_SCAFFOLD_1118
Dsin_scaffold161	ORIGINAL_SCAFFOLD_1119
Dsin_scaffold162	ORIGINAL_SCAFFOLD_1120
Dsin_scaffold163	ORIGINAL_SCAFFOLD_1121
Dsin_scaffold164	ORIGINAL_SCAFFOLD_1122
Dsin_scaffold165	ORIGINAL_SCAFFOLD_1123
Dsin_scaffold166	ORIGINAL_SCAFFOLD_1124
Dsin_scaffold167	ORIGINAL_SCAFFOLD_1125
Dsin_scaffold168	ORIGINAL_SCAFFOLD_1126
Dsin_scaffold169	ORIGINAL_SCAFFOLD_1127
Dsin_scaffold170	ORIGINAL_SCAFFOLD_1128
Dsin_scaffold171	ORIGINAL_SCAFFOLD_1129
Dsin_scaffold172	ORIGINAL_SCAFFOLD_1130
Dsin_scaffold173	ORIGINAL_SCAFFOLD_1132
Dsin_scaffold174	ORIGINAL_SCAFFOLD_1133
Dsin_scaffold175	ORIGINAL_SCAFFOLD_1134
Dsin_scaffold176	ORIGINAL_SCAFFOLD_1135
Dsin_scaffold177	ORIGINAL_SCAFFOLD_1137
Dsin_scaffold178	ORIGINAL_SCAFFOLD_1138
Dsin_scaffold179	ORIGINAL_SCAFFOLD_1139
Dsin_scaffold180	ORIGINAL_SCAFFOLD_1140
Dsin_scaffold181	ORIGINAL_SCAFFOLD_1141
