Apal014S000150.1	A.palmatum_Contig14_G00015.t1
Apal014S000160.1	A.palmatum_Contig14_G00016.t1
Apal014S000170.1	A.palmatum_Contig14_G00017.t1
Apal014S000180.1	A.palmatum_Contig14_G00018.t1
Apal014S000190.1	A.palmatum_Contig14_G00019.t1
Apal014S000200.1	A.palmatum_Contig14_G00020.t1
Apal014S000210.1	A.palmatum_Contig14_G00021.t1
Apal014S000220.1	A.palmatum_Contig14_G00022.t1
Apal014S000230.1	A.palmatum_Contig14_G00023.t1
Apal014S000240.1	A.palmatum_Contig14_G00024.t1
Apal014S000250.1	A.palmatum_Contig14_G00026.t1
Apal014S000260.1	A.palmatum_Contig14_G00027.t1
Apal014S000270.1	A.palmatum_Contig14_G00028.t1
Apal014S000280.1	A.palmatum_Contig14_G00029.t1
Apal014S000290.1	A.palmatum_Contig14_G00030.t1
Apal014S000300.1	A.palmatum_Contig14_G00031.t1
Apal014S000310.1	A.palmatum_Contig14_G00032.t1
Apal014S000320.1	A.palmatum_Contig14_G00033.t1
Apal014S000330.1	A.palmatum_Contig14_G00034.t1
Apal014S000340.1	A.palmatum_Contig14_G00035.t1
Apal014S000350.1	A.palmatum_Contig14_G00036.t1
Apal014S000360.1	A.palmatum_Contig14_G00037.t1
Apal014S000370.1	A.palmatum_Contig14_G00038.t1
Apal014S000380.1	A.palmatum_Contig14_G00039.t1
Apal014S000390.1	A.palmatum_Contig14_G00040.t1
Apal014S000400.1	A.palmatum_Contig14_G00041.t1
Apal014S000410.1	A.palmatum_Contig14_G00042.t1
Apal014S000420.1	A.palmatum_Contig14_G00043.t1
Apal014S000430.1	A.palmatum_Contig14_G00044.t1
Apal014S000440.1	A.palmatum_Contig14_G00045.t1
Apal014S000450.1	A.palmatum_Contig14_G00046.t1
Apal014S000460.1	A.palmatum_Contig14_G00047.t1
Apal014S000470.1	A.palmatum_Contig14_G00048.t1
Apal014S000480.1	A.palmatum_Contig14_G00050.t1
Apal014S000490.1	A.palmatum_Contig14_G00051.t1
Apal015S000010.1	A.palmatum_Contig15_G00002.t1
Apal015S000020.1	A.palmatum_Contig15_G00003.t1
Apal015S000030.1	A.palmatum_Contig15_G00004.t1
Apal015S000040.1	A.palmatum_Contig15_G00005.t1
Apal015S000050.1	A.palmatum_Contig15_G00006.t1
Apal015S000060.1	A.palmatum_Contig15_G00007.t1
Apal015S000070.1	A.palmatum_Contig15_G00008.t1
Apal015S000080.1	A.palmatum_Contig15_G00009.t1
Apal015S000090.1	A.palmatum_Contig15_G00010.t1
Apal015S000100.1	A.palmatum_Contig15_G00011.t1
Apal015S000110.1	A.palmatum_Contig15_G00012.t1
Apal015S000120.1	A.palmatum_Contig15_G00013.t1
Apal015S000130.1	A.palmatum_Contig15_G00014.t1
Apal015S000140.1	A.palmatum_Contig15_G00015.t1
Apal015S000150.1	A.palmatum_Contig15_G00016.t1
Apal015S000160.1	A.palmatum_Contig15_G00017.t1
Apal015S000170.1	A.palmatum_Contig15_G00018.t1
Apal015S000180.1	A.palmatum_Contig15_G00019.t1
Apal015S000190.1	A.palmatum_Contig15_G00020.t1
Apal015S000200.1	A.palmatum_Contig15_G00021.t1
Apal015S000210.1	A.palmatum_Contig15_G00022.t1
Apal015S000220.1	A.palmatum_Contig15_G00023.t1
Apal015S000230.1	A.palmatum_Contig15_G00024.t1
Apal015S000240.1	A.palmatum_Contig15_G00025.t1
Apal015S000250.1	A.palmatum_Contig15_G00026.t1
Apal015S000260.1	A.palmatum_Contig15_G00027.t1
Apal016S000010.1	A.palmatum_Contig16_G00001.t1
Apal016S000020.1	A.palmatum_Contig16_G00002.t1
Apal016S000030.1	A.palmatum_Contig16_G00003.t1
Apal016S000040.1	A.palmatum_Contig16_G00004.t1
Apal016S000050.1	A.palmatum_Contig16_G00005.t1
Apal016S000060.1	A.palmatum_Contig16_G00006.t1
Apal016S000070.1	A.palmatum_Contig16_G00007.t1
Apal016S000080.1	A.palmatum_Contig16_G00008.t1
Apal016S000090.1	A.palmatum_Contig16_G00009.t1
Apal016S000100.1	A.palmatum_Contig16_G00010.t1
Apal016S000110.1	A.palmatum_Contig16_G00011.t1
Apal016S000120.1	A.palmatum_Contig16_G00012.t1
Apal016S000130.1	A.palmatum_Contig16_G00013.t1
Apal016S000140.1	A.palmatum_Contig16_G00014.t1
Apal016S000150.1	A.palmatum_Contig16_G00015.t1
Apal017S000010.1	A.palmatum_Contig17_G00001.t1
Apal017S000020.1	A.palmatum_Contig17_G00002.t1
Apal017S000030.1	A.palmatum_Contig17_G00003.t1
Apal017S000040.1	A.palmatum_Contig17_G00004.t1
Apal017S000050.1	A.palmatum_Contig17_G00005.t1
Apal017S000060.1	A.palmatum_Contig17_G00006.t1
Apal017S000070.1	A.palmatum_Contig17_G00007.t1
Apal017S000080.1	A.palmatum_Contig17_G00008.t1
Apal017S000090.1	A.palmatum_Contig17_G00009.t1
Apal017S000100.1	A.palmatum_Contig17_G00010.t1
Apal017S000110.1	A.palmatum_Contig17_G00011.t1
Apal017S000120.1	A.palmatum_Contig17_G00012.t1
Apal017S000130.1	A.palmatum_Contig17_G00013.t1
Apal017S000140.1	A.palmatum_Contig17_G00014.t1
Apal017S000150.1	A.palmatum_Contig17_G00015.t1
Apal017S000160.1	A.palmatum_Contig17_G00016.t1
Apal017S000170.1	A.palmatum_Contig17_G00017.t1
Apal017S000180.1	A.palmatum_Contig17_G00018.t1
Apal017S000190.1	A.palmatum_Contig17_G00019.t1
Apal017S000200.1	A.palmatum_Contig17_G00020.t1
Apal017S000210.1	A.palmatum_Contig17_G00021.t1
Apal017S000220.1	A.palmatum_Contig17_G00022.t1
Apal017S000230.1	A.palmatum_Contig17_G00023.t1
Apal017S000240.1	A.palmatum_Contig17_G00024.t1
Apal017S000250.1	A.palmatum_Contig17_G00025.t1
Apal017S000260.1	A.palmatum_Contig17_G00026.t1
Apal017S000270.1	A.palmatum_Contig17_G00027.t1
Apal017S000280.1	A.palmatum_Contig17_G00028.t1
Apal017S000290.1	A.palmatum_Contig17_G00029.t1
Apal017S000300.1	A.palmatum_Contig17_G00030.t1
Apal017S000310.1	A.palmatum_Contig17_G00031.t1
Apal017S000320.1	A.palmatum_Contig17_G00032.t1
Apal017S000330.1	A.palmatum_Contig17_G00033.t1
Apal017S000340.1	A.palmatum_Contig17_G00034.t1
Apal017S000350.1	A.palmatum_Contig17_G00035.t1
Apal017S000360.1	A.palmatum_Contig17_G00036.t1
Apal018S000010.1	A.palmatum_Contig18_G00002.t1
Apal018S000020.1	A.palmatum_Contig18_G00003.t1
Apal019S000010.1	A.palmatum_Contig19_G00001.t1
Apal019S000020.1	A.palmatum_Contig19_G00002.t1
Apal019S000030.1	A.palmatum_Contig19_G00003.t1
Apal019S000040.1	A.palmatum_Contig19_G00004.t1
Apal019S000050.1	A.palmatum_Contig19_G00005.t1
Apal019S000060.1	A.palmatum_Contig19_G00007.t1
Apal019S000070.1	A.palmatum_Contig19_G00008.t1
Apal019S000080.1	A.palmatum_Contig19_G00009.t1
Apal001S000010.1	A.palmatum_Contig1_G00001.t1
Apal001S000020.1	A.palmatum_Contig1_G00002.t1
Apal001S000030.1	A.palmatum_Contig1_G00003.t1
Apal001S000040.1	A.palmatum_Contig1_G00004.t1
Apal001S000050.1	A.palmatum_Contig1_G00005.t1
Apal001S000060.1	A.palmatum_Contig1_G00007.t1
Apal001S000070.1	A.palmatum_Contig1_G00008.t1
Apal001S000080.1	A.palmatum_Contig1_G00009.t1
Apal001S000090.1	A.palmatum_Contig1_G00010.t1
Apal001S000100.1	A.palmatum_Contig1_G00011.t1
Apal001S000110.1	A.palmatum_Contig1_G00012.t1
Apal001S000120.1	A.palmatum_Contig1_G00013.t1
Apal001S000130.1	A.palmatum_Contig1_G00014.t1
Apal001S000140.1	A.palmatum_Contig1_G00015.t1
Apal001S000150.1	A.palmatum_Contig1_G00016.t1
Apal001S000160.1	A.palmatum_Contig1_G00017.t1
Apal001S000170.1	A.palmatum_Contig1_G00018.t1
Apal001S000180.1	A.palmatum_Contig1_G00019.t1
Apal001S000190.1	A.palmatum_Contig1_G00020.t1
