Acat09G015240.1	EVM0000168.1
Acat02G014890.1	EVM0000169.1
Acat04G010070.1	EVM0000170.1
Acat0563S000100.1	EVM0000171.1
Acat07G001140.1	EVM0000172.1
Acat06G007250.1	EVM0000173.1
Acat06G000880.1	EVM0000174.1
Acat13G014430.1	EVM0000175.1
Acat09G015710.1	EVM0000176.1
Acat10G018500.1	EVM0000177.1
Acat11G012640.1	EVM0000178.1
Acat0746S000080.1	EVM0000179.1
Acat01G026620.1	EVM0000180.1
Acat1232S000030.1	EVM0000181.1
Acat07G017690.1	EVM0000182.1
Acat01G032890.1	EVM0000183.1
Acat03G001900.1	EVM0000184.1
Acat05G003300.1	EVM0000185.1
Acat0460S000010.1	EVM0000186.1
Acat02G011090.1	EVM0000187.1
Acat11G005910.1	EVM0000188.3
Acat10G011240.1	EVM0000189.1
Acat01G027950.1	EVM0000190.1
Acat10G004830.1	EVM0000191.1
Acat12G001980.1	EVM0000192.1
Acat02G012950.1	EVM0000193.1
Acat13G006530.1	EVM0000194.1
Acat02G001430.1	EVM0000195.1
Acat1225S000310.1	EVM0000196.1
Acat03G014460.1	EVM0000197.1
Acat07G008510.1	EVM0000198.1
Acat01G019720.1	EVM0000199.1
Acat06G007840.1	EVM0000200.1
Acat02G003870.1	EVM0000201.1
Acat07G004590.1	EVM0000202.1
Acat10G001420.1	EVM0000203.1
Acat0157S000020.1	EVM0000204.1
Acat1593S000010.1	EVM0000205.1
Acat13G008150.1	EVM0000206.1
Acat12G017150.1	EVM0000207.1
Acat08G003050.1	EVM0000208.1
Acat02G003150.1	EVM0000209.1
Acat03G026470.1	EVM0000210.1
Acat05G009320.1	EVM0000211.1
Acat12G012490.1	EVM0000212.1
Acat03G021330.1	EVM0000213.1
Acat06G003700.1	EVM0000214.1
Acat10G001920.1	EVM0000215.1
Acat12G014350.1	EVM0000216.1
Acat1364S000440.1	EVM0000217.1
Acat09G015540.1	EVM0000218.1
Acat03G024160.1	EVM0000219.1
Acat06G016690.1	EVM0000220.1
Acat01G014120.1	EVM0000221.1
Acat04G027320.1	EVM0000222.1
Acat04G013690.1	EVM0000223.1
Acat12G003390.1	EVM0000224.1
Acat11G021350.1	EVM0000225.1
Acat05G000610.1	EVM0000226.1
Acat10G011380.1	EVM0000227.1
Acat11G007630.1	EVM0000228.1
Acat11G021090.1	EVM0000229.1
Acat09G010450.1	EVM0000230.1
Acat11G005170.1	EVM0000231.1
Acat02G024290.1	EVM0000232.1
Acat05G006310.1	EVM0000233.1
Acat02G031110.1	EVM0000234.1
Acat07G012860.1	EVM0000235.1
Acat06G012310.1	EVM0000236.2
Acat06G008450.1	EVM0000237.1
Acat02G012360.1	EVM0000238.1
Acat0544S000030.1	EVM0000239.1
Acat10G015830.1	EVM0000240.1
Acat01G003420.1	EVM0000241.2
Acat02G015760.1	EVM0000242.1
Acat0958S000830.1	EVM0000243.1
Acat0291S000020.1	EVM0000244.1
Acat13G015230.1	EVM0000245.1
Acat05G002130.1	EVM0000246.1
Acat04G024730.1	EVM0000247.1
Acat01G010260.1	EVM0000248.1
Acat12G007800.1	EVM0000249.1
Acat10G006940.1	EVM0000250.1
Acat06G013120.1	EVM0000251.1
Acat11G002940.1	EVM0000252.1
Acat11G007400.1	EVM0000253.1
Acat07G012270.1	EVM0000254.1
Acat03G000750.1	EVM0000255.1
Acat07G017650.1	EVM0000256.1
Acat06G009100.1	EVM0000257.1
Acat07G004880.1	EVM0000258.1
Acat05G007100.1	EVM0000259.1
Acat06G019850.1	EVM0000260.1
