Apal01G001400	A.palmatum_LG01_G00145
Apal01G001410	A.palmatum_LG01_G00147
Apal01G001420	A.palmatum_LG01_G00148
Apal01G001430	A.palmatum_LG01_G00149
Apal01G001440	A.palmatum_LG01_G00150
Apal01G001450	A.palmatum_LG01_G00151
Apal01G001460	A.palmatum_LG01_G00152
Apal01G001470	A.palmatum_LG01_G00153
Apal01G001480	A.palmatum_LG01_G00154
Apal01G001490	A.palmatum_LG01_G00155
Apal01G001500	A.palmatum_LG01_G00156
Apal01G001510	A.palmatum_LG01_G00157
Apal01G001520	A.palmatum_LG01_G00158
Apal01G001530	A.palmatum_LG01_G00159
Apal01G001540	A.palmatum_LG01_G00160
Apal01G001550	A.palmatum_LG01_G00161
Apal01G001560	A.palmatum_LG01_G00162
Apal01G001570	A.palmatum_LG01_G00163
Apal01G001580	A.palmatum_LG01_G00164
Apal01G001590	A.palmatum_LG01_G00165
Apal01G001600	A.palmatum_LG01_G00166
Apal01G001610	A.palmatum_LG01_G00167
Apal01G001620	A.palmatum_LG01_G00168
Apal01G001630	A.palmatum_LG01_G00169
Apal01G001640	A.palmatum_LG01_G00170
Apal01G001650	A.palmatum_LG01_G00171
Apal01G001660	A.palmatum_LG01_G00172
Apal01G001670	A.palmatum_LG01_G00173
Apal01G001680	A.palmatum_LG01_G00174
Apal01G001690	A.palmatum_LG01_G00175
Apal01G001700	A.palmatum_LG01_G00176
Apal01G001710	A.palmatum_LG01_G00177
Apal01G001720	A.palmatum_LG01_G00178
Apal01G001730	A.palmatum_LG01_G00179
Apal01G001740	A.palmatum_LG01_G00181
Apal01G001750	A.palmatum_LG01_G00182
Apal01G001760	A.palmatum_LG01_G00183
Apal01G001770	A.palmatum_LG01_G00184
Apal01G001780	A.palmatum_LG01_G00185
Apal01G001790	A.palmatum_LG01_G00186
Apal01G001800	A.palmatum_LG01_G00187
Apal01G001810	A.palmatum_LG01_G00188
Apal01G001820	A.palmatum_LG01_G00189
Apal01G001830	A.palmatum_LG01_G00190
Apal01G001840	A.palmatum_LG01_G00191
Apal01G001850	A.palmatum_LG01_G00192
Apal01G001860	A.palmatum_LG01_G00193
Apal01G001870	A.palmatum_LG01_G00194
Apal01G001880	A.palmatum_LG01_G00195
Apal01G001890	A.palmatum_LG01_G00196
Apal01G001900	A.palmatum_LG01_G00197
Apal01G001910	A.palmatum_LG01_G00198
Apal01G001920	A.palmatum_LG01_G00199
Apal01G001930	A.palmatum_LG01_G00200
Apal01G001940	A.palmatum_LG01_G00201
Apal01G001950	A.palmatum_LG01_G00202
Apal01G001960	A.palmatum_LG01_G00204
Apal01G001970	A.palmatum_LG01_G00205
Apal01G001980	A.palmatum_LG01_G00206
Apal01G001990	A.palmatum_LG01_G00207
Apal01G002000	A.palmatum_LG01_G00208
Apal01G002010	A.palmatum_LG01_G00209
Apal01G002020	A.palmatum_LG01_G00210
Apal01G002030	A.palmatum_LG01_G00211
Apal01G002040	A.palmatum_LG01_G00212
Apal01G002050	A.palmatum_LG01_G00214
Apal01G002060	A.palmatum_LG01_G00215
Apal01G002070	A.palmatum_LG01_G00216
Apal01G002080	A.palmatum_LG01_G00217
Apal01G002090	A.palmatum_LG01_G00218
Apal01G002100	A.palmatum_LG01_G00219
Apal01G002110	A.palmatum_LG01_G00220
Apal01G002120	A.palmatum_LG01_G00221
Apal01G002130	A.palmatum_LG01_G00222
Apal01G002140	A.palmatum_LG01_G00223
Apal01G002150	A.palmatum_LG01_G00224
Apal01G002160	A.palmatum_LG01_G00225
Apal01G002170	A.palmatum_LG01_G00226
Apal01G002180	A.palmatum_LG01_G00227
Apal01G002190	A.palmatum_LG01_G00228
Apal01G002200	A.palmatum_LG01_G00229
Apal01G002210	A.palmatum_LG01_G00230
Apal01G002220	A.palmatum_LG01_G00231
Apal01G002230	A.palmatum_LG01_G00232
Apal01G002240	A.palmatum_LG01_G00233
Apal01G002250	A.palmatum_LG01_G00234
Apal01G002260	A.palmatum_LG01_G00235
Apal01G002270	A.palmatum_LG01_G00236
Apal01G002280	A.palmatum_LG01_G00237
Apal01G002290	A.palmatum_LG01_G00238
Apal01G002300	A.palmatum_LG01_G00239
Apal01G002310	A.palmatum_LG01_G00240
Apal01G002320	A.palmatum_LG01_G00241
Apal01G002330	A.palmatum_LG01_G00242
Apal01G002340	A.palmatum_LG01_G00243
